Invoice_id,Branch_id,Customer_id,Product_id,Date,Time,Payment_method,Rating
750-67-8428,A750-67-8428,Member750-67-8428,p1,1/5/2019,13:08,Ewallet,9.1
226-31-3081,C226-31-3081,Normal226-31-3081,p2,3/8/2019,10:29,Cash,9.6
631-41-3108,A631-41-3108,Normal631-41-3108,p3,3/3/2019,13:23,Credit card,7.4
123-19-1176,A123-19-1176,Member123-19-1176,p4,1/27/2019,20:33,Ewallet,8.4
373-73-7910,A373-73-7910,Normal373-73-7910,p5,2/8/2019,10:37,Ewallet,5.3
699-14-3026,C699-14-3026,Normal699-14-3026,p6,3/25/2019,18:30,Ewallet,4.1
355-53-5943,A355-53-5943,Member355-53-5943,p7,2/25/2019,14:36,Ewallet,5.8
315-22-5665,C315-22-5665,Normal315-22-5665,p8,2/24/2019,11:38,Ewallet,8
665-32-9167,A665-32-9167,Member665-32-9167,p9,1/10/2019,17:15,Credit card,7.2
692-92-5582,B692-92-5582,Member692-92-5582,p10,2/20/2019,13:27,Credit card,5.9
351-62-0822,B351-62-0822,Member351-62-0822,p11,2/6/2019,18:07,Ewallet,4.5
529-56-3974,B529-56-3974,Member529-56-3974,p12,3/9/2019,17:03,Cash,6.8
365-64-0515,A365-64-0515,Normal365-64-0515,p13,2/12/2019,10:25,Ewallet,7.1
252-56-2699,A252-56-2699,Normal252-56-2699,p14,2/7/2019,16:48,Ewallet,8.2
829-34-3910,A829-34-3910,Normal829-34-3910,p15,3/29/2019,19:21,Cash,5.7
299-46-1805,B299-46-1805,Member299-46-1805,p16,1/15/2019,16:19,Cash,4.5
656-95-9349,A656-95-9349,Member656-95-9349,p17,3/11/2019,11:03,Credit card,4.6
765-26-6951,A765-26-6951,Normal765-26-6951,p18,1/1/2019,10:39,Credit card,6.9
329-62-1586,A329-62-1586,Normal329-62-1586,p19,1/21/2019,18:00,Credit card,8.6
319-50-3348,B319-50-3348,Normal319-50-3348,p20,3/11/2019,15:30,Ewallet,4.4
300-71-4605,C300-71-4605,Member300-71-4605,p21,2/25/2019,11:24,Ewallet,4.8
371-85-5789,B371-85-5789,Normal371-85-5789,p22,3/5/2019,10:40,Ewallet,5.1
273-16-6619,B273-16-6619,Normal273-16-6619,p23,3/15/2019,12:20,Credit card,4.4
636-48-8204,A636-48-8204,Normal636-48-8204,p24,2/17/2019,11:15,Ewallet,9.9
549-59-1358,A549-59-1358,Member549-59-1358,p25,3/2/2019,17:36,Ewallet,6
227-03-5010,A227-03-5010,Member227-03-5010,p26,3/22/2019,19:20,Credit card,8.5
649-29-6775,B649-29-6775,Normal649-29-6775,p27,2/8/2019,15:31,Cash,6.7
189-17-4241,A189-17-4241,Normal189-17-4241,p28,3/10/2019,12:17,Credit card,7.7
145-94-9061,B145-94-9061,Normal145-94-9061,p29,1/25/2019,19:48,Cash,9.6
848-62-7243,A848-62-7243,Normal848-62-7243,p30,3/15/2019,15:36,Cash,7.4
871-79-8483,B871-79-8483,Normal871-79-8483,p31,2/25/2019,19:39,Credit card,4.8
149-71-6266,B149-71-6266,Member149-71-6266,p32,1/28/2019,12:43,Cash,4.5
640-49-2076,B640-49-2076,Normal640-49-2076,p33,1/10/2019,14:49,Cash,5.1
595-11-5460,A595-11-5460,Normal595-11-5460,p34,3/15/2019,10:12,Credit card,5.1
183-56-6882,C183-56-6882,Member183-56-6882,p35,2/6/2019,10:42,Ewallet,7.5
232-16-2483,C232-16-2483,Member232-16-2483,p36,1/7/2019,12:28,Ewallet,6.8
129-29-8530,A129-29-8530,Member129-29-8530,p37,3/10/2019,19:15,Ewallet,7
