sales_id,Invoice ID,Quantity,Tax,Total,cogs,gross margin percentage,gross_income
s750-67-8428,750-67-8428,7,26.1415,548.9715,522.83,4.761904762,26.1415
s226-31-3081,226-31-3081,5,3.82,80.22,76.4,4.761904762,3.82
s631-41-3108,631-41-3108,7,16.2155,340.5255,324.31,4.761904762,16.2155
s123-19-1176,123-19-1176,8,23.288,489.048,465.76,4.761904762,23.288
s373-73-7910,373-73-7910,7,30.2085,634.3785,604.17,4.761904762,30.2085
s699-14-3026,699-14-3026,7,29.8865,627.6165,597.73,4.761904762,29.8865
s355-53-5943,355-53-5943,6,20.652,433.692,413.04,4.761904762,20.652
s315-22-5665,315-22-5665,10,36.78,772.38,735.6,4.761904762,36.78
s665-32-9167,665-32-9167,2,3.626,76.146,72.52,4.761904762,3.626
s692-92-5582,692-92-5582,3,8.226,172.746,164.52,4.761904762,8.226
s351-62-0822,351-62-0822,4,2.896,60.816,57.92,4.761904762,2.896
s529-56-3974,529-56-3974,4,5.102,107.142,102.04,4.761904762,5.102
s365-64-0515,365-64-0515,5,11.7375,246.4875,234.75,4.761904762,11.7375
s252-56-2699,252-56-2699,10,21.595,453.495,431.9,4.761904762,21.595
s829-34-3910,829-34-3910,10,35.69,749.49,713.8,4.761904762,35.69
s299-46-1805,299-46-1805,6,28.116,590.436,562.32,4.761904762,28.116
s656-95-9349,656-95-9349,7,24.1255,506.6355,482.51,4.761904762,24.1255
s765-26-6951,765-26-6951,6,21.783,457.443,435.66,4.761904762,21.783
s329-62-1586,329-62-1586,3,8.2005,172.2105,164.01,4.761904762,8.2005
s319-50-3348,319-50-3348,2,4.03,84.63,80.6,4.761904762,4.03
s300-71-4605,300-71-4605,5,21.51,451.71,430.2,4.761904762,21.51
s371-85-5789,371-85-5789,3,13.197,277.137,263.94,4.761904762,13.197
s273-16-6619,273-16-6619,2,3.32,69.72,66.4,4.761904762,3.32
s636-48-8204,636-48-8204,5,8.64,181.44,172.8,4.761904762,8.64
s549-59-1358,549-59-1358,3,13.2945,279.1845,265.89,4.761904762,13.2945
s227-03-5010,227-03-5010,8,21.036,441.756,420.72,4.761904762,21.036
s649-29-6775,649-29-6775,1,1.676,35.196,33.52,4.761904762,1.676
s189-17-4241,189-17-4241,2,8.767,184.107,175.34,4.761904762,8.767
s145-94-9061,145-94-9061,5,22.09,463.89,441.8,4.761904762,22.09
s848-62-7243,848-62-7243,9,11.2005,235.2105,224.01,4.761904762,11.2005
s871-79-8483,871-79-8483,5,23.5325,494.1825,470.65,4.761904762,23.5325
s149-71-6266,149-71-6266,9,35.1315,737.7615,702.63,4.761904762,35.1315
s640-49-2076,640-49-2076,8,33.512,703.752,670.24,4.761904762,33.512
s595-11-5460,595-11-5460,2,9.658,202.818,193.16,4.761904762,9.658
s183-56-6882,183-56-6882,4,19.884,417.564,397.68,4.761904762,19.884
s232-16-2483,232-16-2483,1,3.406,71.526,68.12,4.761904762,3.406
s129-29-8530,129-29-8530,5,15.655,328.755,313.1,4.761904762,15.655
s272-65-1806,272-65-1806,9,27.396,575.316,547.92,4.761904762,27.396
s333-73-7901,333-73-7901,8,21.968,461.328,439.36,4.761904762,21.968
s777-82-7220,777-82-7220,8,12.048,253.008,240.96,4.761904762,12.048
s280-35-5823,280-35-5823,1,4.336,91.056,86.72,4.761904762,4.336
s554-53-8700,554-53-8700,2,5.611,117.831,112.22,4.761904762,5.611
s354-25-5821,354-25-5821,6,20.736,435.456,414.72,4.761904762,20.736
s228-96-1411,228-96-1411,8,39.48,829.08,789.6,4.761904762,39.48
s617-15-4209,617-15-4209,2,1.537,32.277,30.74,4.761904762,1.537
s132-32-9879,132-32-9879,4,18.792,394.632,375.84,4.761904762,18.792
s370-41-7321,370-41-7321,9,25.5105,535.7205,510.21,4.761904762,25.5105
s727-46-3608,727-46-3608,9,9.0045,189.0945,180.09,4.761904762,9.0045
s669-54-1719,669-54-1719,6,5.679,119.259,113.58,4.761904762,5.679
