sales_id,Invoice ID,Branch_id,Branch,Cty_id,,City,Customer_id,Customer_type,Gender,Product_id,Product line,Unit price,Quantity,Tax,Total,Date,Time,Payment_method,cogs,gross margin percentage,gross income,Rating
s750-67-8428,750-67-8428,A750-67-8428,A,Y750-67-8428,Y,Yangon,Member750-67-8428,Member,Female,p1,Health and beauty,74.69,7,26.1415,548.9715,1/5/2019,13:08,Ewallet,522.83,4.761904762,26.1415,9.1
s226-31-3081,226-31-3081,C226-31-3081,C,N226-31-3081,N,Naypyitaw,Normal226-31-3081,Normal,Female,p2,Electronic accessories,15.28,5,3.82,80.22,3/8/2019,10:29,Cash,76.4,4.761904762,3.82,9.6
s631-41-3108,631-41-3108,A631-41-3108,A,Y631-41-3108,Y,Yangon,Normal631-41-3108,Normal,Male,p3,Home and lifestyle,46.33,7,16.2155,340.5255,3/3/2019,13:23,Credit card,324.31,4.761904762,16.2155,7.4
s123-19-1176,123-19-1176,A123-19-1176,A,Y123-19-1176,Y,Yangon,Member123-19-1176,Member,Male,p4,Health and beauty,58.22,8,23.288,489.048,1/27/2019,20:33,Ewallet,465.76,4.761904762,23.288,8.4
s373-73-7910,373-73-7910,A373-73-7910,A,Y373-73-7910,Y,Yangon,Normal373-73-7910,Normal,Male,p5,Sports and travel,86.31,7,30.2085,634.3785,2/8/2019,10:37,Ewallet,604.17,4.761904762,30.2085,5.3
s699-14-3026,699-14-3026,C699-14-3026,C,N699-14-3026,N,Naypyitaw,Normal699-14-3026,Normal,Male,p6,Electronic accessories,85.39,7,29.8865,627.6165,3/25/2019,18:30,Ewallet,597.73,4.761904762,29.8865,4.1
s355-53-5943,355-53-5943,A355-53-5943,A,Y355-53-5943,Y,Yangon,Member355-53-5943,Member,Female,p7,Electronic accessories,68.84,6,20.652,433.692,2/25/2019,14:36,Ewallet,413.04,4.761904762,20.652,5.8
s315-22-5665,315-22-5665,C315-22-5665,C,N315-22-5665,N,Naypyitaw,Normal315-22-5665,Normal,Female,p8,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,11:38,Ewallet,735.6,4.761904762,36.78,8
s665-32-9167,665-32-9167,A665-32-9167,A,Y665-32-9167,Y,Yangon,Member665-32-9167,Member,Female,p9,Health and beauty,36.26,2,3.626,76.146,1/10/2019,17:15,Credit card,72.52,4.761904762,3.626,7.2
s692-92-5582,692-92-5582,B692-92-5582,B,M692-92-5582,M,Mandalay,Member692-92-5582,Member,Female,p10,Food and beverages,54.84,3,8.226,172.746,2/20/2019,13:27,Credit card,164.52,4.761904762,8.226,5.9
s351-62-0822,351-62-0822,B351-62-0822,B,M351-62-0822,M,Mandalay,Member351-62-0822,Member,Female,p11,Fashion accessories,14.48,4,2.896,60.816,2/6/2019,18:07,Ewallet,57.92,4.761904762,2.896,4.5
s529-56-3974,529-56-3974,B529-56-3974,B,M529-56-3974,M,Mandalay,Member529-56-3974,Member,Male,p12,Electronic accessories,25.51,4,5.102,107.142,3/9/2019,17:03,Cash,102.04,4.761904762,5.102,6.8
s365-64-0515,365-64-0515,A365-64-0515,A,Y365-64-0515,Y,Yangon,Normal365-64-0515,Normal,Female,p13,Electronic accessories,46.95,5,11.7375,246.4875,2/12/2019,10:25,Ewallet,234.75,4.761904762,11.7375,7.1
s252-56-2699,252-56-2699,A252-56-2699,A,Y252-56-2699,Y,Yangon,Normal252-56-2699,Normal,Male,p14,Food and beverages,43.19,10,21.595,453.495,2/7/2019,16:48,Ewallet,431.9,4.761904762,21.595,8.2
s829-34-3910,829-34-3910,A829-34-3910,A,Y829-34-3910,Y,Yangon,Normal829-34-3910,Normal,Female,p15,Health and beauty,71.38,10,35.69,749.49,3/29/2019,19:21,Cash,713.8,4.761904762,35.69,5.7
s299-46-1805,299-46-1805,B299-46-1805,B,M299-46-1805,M,Mandalay,Member299-46-1805,Member,Female,p16,Sports and travel,93.72,6,28.116,590.436,1/15/2019,16:19,Cash,562.32,4.761904762,28.116,4.5
